OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,CountDidStaffListen,PercentageDidStaffListen,CountHelpedUnderstandDifficulties,PercentageHelpedUnderstandDifficulties,CountFeelInvolved,PercentageFeelInvolved,CountHelpThatMattered,PercentageHelpThatMattered,CountConfidenceInYourTherapist,PercentageConfidenceInYourTherapist,CountDidYouReceiveTheEmploymentHelpYouRequired,PercentageDidYouReceiveTheEmploymentHelpYouRequired,CountGivenInformationAboutOptions,PercentageGivenInformationAboutOptions,CountPreferTreatments,PercentagePreferTreatments,CountOfferedYourPreference,PercentageOfferedYourPreference,CountDidAssessmentCoverYourEmploymentNeeds,PercentageDidAssessmentCoverYourEmploymentNeeds,CountAssessmentSatisfaction,PercentageAssessmentSatisfaction
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Treatment Questionnaire response,Total responses,Null,12655,-,12655,-,12655,-,12655,-,12655,-,12655,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Treatment Questionnaire response,At all times,Null,11795,93,8780,69,10455,83,9465,75,11040,87,4035,32,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Treatment Questionnaire response,Most of the time,Null,595,5,2565,20,1360,11,1910,15,1035,8,720,6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Treatment Questionnaire response,Sometimes,Null,170,1,945,7,580,5,835,7,385,3,310,2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Treatment Questionnaire response,Rarely,Null,65,1,235,2,160,1,255,2,105,1,100,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Treatment Questionnaire response,Never,Null,25,0,125,1,95,1,180,1,80,1,160,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Treatment Questionnaire response,Not applicable,Null,-,-,-,-,-,-,-,-,-,-,3370,27,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Treatment Questionnaire response,Not stated/Not known/Invalid,Null,5,0,10,0,10,0,15,0,15,0,3965,31,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,18575,-,18575,-,18575,-,18575,-,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire response,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,17840,96,14695,79,14270,77,9190,49,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire response,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,710,4,3805,20,585,3,765,4,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire response,Not applicable,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,-,-,-,-,3640,20,8500,46,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,25,0,75,0,75,0,120,1,Null,Null
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,18575,-
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Completely satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15805,85
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Mostly satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1955,11
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Neither satisfied nor dissatisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,610,3
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Not satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,75,0
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Not at all satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,55,0
Commissioning Region,Y60,MIDLANDS COMMISSIONING REGION,Assessment Questionnaire (Satisfaction) response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,80,0
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Treatment Questionnaire response,Total responses,Null,7265,-,7265,-,7265,-,7265,-,7265,-,7265,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Treatment Questionnaire response,At all times,Null,6595,91,4495,62,5595,77,4950,68,6085,84,1575,22,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Treatment Questionnaire response,Most of the time,Null,425,6,1710,24,1015,14,1360,19,710,10,410,6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Treatment Questionnaire response,Sometimes,Null,155,2,690,10,415,6,540,7,270,4,185,3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Treatment Questionnaire response,Rarely,Null,45,1,215,3,140,2,205,3,95,1,60,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Treatment Questionnaire response,Never,Null,40,1,145,2,95,1,210,3,95,1,140,2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Treatment Questionnaire response,Not applicable,Null,-,-,-,-,-,-,-,-,-,-,1900,26,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Treatment Questionnaire response,Not stated/Not known/Invalid,Null,*,*,*,*,*,*,*,*,10,0,2995,41,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y61,EAST OF ENGLAND COMMISSIONING REGION,Assessment Questionnaire response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10985,-,10985,-,10985,-,10985,-,Null,Null
