OrgType,OrgCode,OrgName,Measure,InitialCaseness,VariableType,VariableA,VariableB,Count_FinishedCourseTreatmentByInitialCasenessStatus,Count_FinishedCourseTreatmentPairedWSAS,Mean_Start,SD_Start,Mean_End,SD_End,EffectSize
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,5,NULL,18,6.2,15.2,8,0.5
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,15,NULL,12.5,5.4,9.1,4.7,0.6
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Other Mental Health problems,Other,475,NULL,14.4,5.2,9.4,6.6,0.9
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Other recorded problems,NULL,550,NULL,14.6,5.3,9.1,6.2,1.1
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,AtCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,6450,NULL,15.1,5.3,9.4,6.4,1.1
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Total,All,NULL,8155,NULL,5.6,2.5,4.5,4,0.4
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Depression,NULL,2985,NULL,6.4,2.3,5.1,4.1,0.6
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,4120,NULL,5.1,2.5,4,3.8,0.4
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,55,NULL,4.7,2.6,3.5,3.3,0.5
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,1930,NULL,5.1,2.5,4.1,3.7,0.4
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,50,NULL,4.9,2.9,3.4,3.7,0.6
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,235,NULL,5.3,2.5,4.6,4.7,0.3
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,190,NULL,5.2,2.7,4.3,3.9,0.4
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,895,NULL,5.5,2.4,4.3,3.7,0.5
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],250,NULL,4.5,2.6,3,3.6,0.6
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,195,NULL,5.7,2.5,4.7,4.7,0.4
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,95,NULL,5.4,2.8,4.3,3.3,0.4
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,225,NULL,3.6,2.7,2.4,3,0.5
Commissioning Region,Y56,LONDON COMMISSIONING REGION,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,20,NULL,5.7,2.9,4.8,3,0.4
