ReportingPeriodStartDate,ReportingPeriodEndDate,OrgCode,MeasureID,MeasureName,Valid_Suppressed,Default_Suppressed,Invalid_Suppressed,Missing_Suppressed,Denominator_Suppressed
01/04/2022,31/03/2023,8JJ53,IDQ19,Psychotropic Medication Usage Indicator Code,515,130,*,1265,1915
01/04/2022,31/03/2023,8JJ53,IDQ20,Internet Enabled Therapy Programme,*,*,*,1915,1915
01/04/2022,31/03/2023,8JJ53,IDQ21,Long Term Condition Flag,1915,*,*,*,1915
01/04/2022,31/03/2023,8JJ53,IDQ22,Care Activity Therapy Type,*,*,*,4260,4260
01/04/2022,31/03/2023,8JJ53,IDQ26,Adult Mental Health Care Cluster,*,*,*,2390,2390
01/04/2022,31/03/2023,8JJ53,IDQ31,Assessment of Initial Caseness,105,*,*,*,105
01/04/2022,31/03/2023,8JJ53,IDQ32,Paired Score Completeness,95,*,*,*,105
01/04/2022,31/03/2023,8JJ53,IDQ33,ADSM Completeness,*,*,*,*,105
01/04/2022,31/03/2023,8JJ53,IDQ38,Validity of Treatment Questionnaire Date,460,*,25,*,485
01/04/2022,31/03/2023,8JJ53,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),375,*,*,*,375
01/04/2022,31/03/2023,8JJ53,IDQ40,Validity of Treatment Questionnaire Question 1 Score,15,*,*,*,15
01/04/2022,31/03/2023,8JJ53,IDQ41,Validity of Treatment Questionnaire Question 2 Score,15,*,*,*,15
01/04/2022,31/03/2023,8JJ53,IDQ42,Validity of Treatment Questionnaire Question 3 Score,15,*,*,*,15
01/04/2022,31/03/2023,8JJ53,IDQ43,Validity of Treatment Questionnaire Question 4 Score,15,*,*,*,15
01/04/2022,31/03/2023,8JJ53,IDQ44,Validity of Treatment Questionnaire Question 5 Score,15,*,*,*,15
01/04/2022,31/03/2023,8JJ53,IDQ45,Validity of Treatment Questionnaire Question 6 Score,15,*,*,*,15
01/04/2022,31/03/2023,8JJ53,IDQ46,Validity of All PEQ Treatment Fields,100,*,*,*,100
01/04/2022,31/03/2023,8JJ53,IDQ47,Validity of Assessment Questionnaire Date,710,*,45,*,760
01/04/2022,31/03/2023,8JJ53,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),315,*,20,*,335
01/04/2022,31/03/2023,8JJ53,IDQ49,Validity of Assessment 1 Field,55,*,*,*,55
01/04/2022,31/03/2023,8JJ53,IDQ50,Validity of Assessment 2 Field,55,*,*,*,55
01/04/2022,31/03/2023,8JJ53,IDQ51,Validity of Assessment 3 Field,55,*,*,*,55
01/04/2022,31/03/2023,8JJ53,IDQ52,Validity of Assessment 4 Field,55,*,*,*,55
01/04/2022,31/03/2023,8JJ53,IDQ53,Validity of Satisfaction Question 1 Score,130,*,*,*,130
01/04/2022,31/03/2023,8JX60,IDQ01,NHS Number Status,220,*,*,825,1045
01/04/2022,31/03/2023,8JX60,IDQ02,Age At Start Of Reporting Period,1045,*,*,*,1045
01/04/2022,31/03/2023,8JX60,IDQ03,Postcode District,1030,*,*,15,1045
01/04/2022,31/03/2023,8JX60,IDQ04,Gender,1035,10,*,*,1045
01/04/2022,31/03/2023,8JX60,IDQ05,Ethnic Category,1030,15,*,*,1045
01/04/2022,31/03/2023,8JX60,IDQ06,Ex-British Armed Forces Indicator,1045,*,*,*,1045
01/04/2022,31/03/2023,8JX60,IDQ08,Disability Code,45,*,*,*,45
01/04/2022,31/03/2023,8JX60,IDQ09,Sexual Orientation Code,720,*,*,335,1055
01/04/2022,31/03/2023,8JX60,IDQ10,Religion Code,940,*,*,135,1075
01/04/2022,31/03/2023,8JX60,IDQ11,Referral Received Date,1040,*,*,*,1040
01/04/2022,31/03/2023,8JX60,IDQ12,Referral Discharge Date,770,*,*,270,1040
01/04/2022,31/03/2023,8JX60,IDQ13,Referral Discharge Reason,730,*,35,10,770
01/04/2022,31/03/2023,8JX60,IDQ16,Organisation Identifier (Code of Commissioner),1040,*,*,*,1040
01/04/2022,31/03/2023,8JX60,IDQ17,Consultation Medium Used,3620,*,30,*,3650
01/04/2022,31/03/2023,8JX60,IDQ18,Care Contact Therapy Mode,1160,*,*,2490,3650
01/04/2022,31/03/2023,8JX60,IDQ19,Psychotropic Medication Usage Indicator Code,2310,1340,*,*,3650
01/04/2022,31/03/2023,8JX60,IDQ20,Internet Enabled Therapy Programme,*,*,*,3650,3650
